latitude,longitude,taken_date,t2m,d2m,tp
55.25,49.25,2017-08-11,292.968,286.777,0.0115471
55.5,56,2017-08-13,286.211,281.038,9.68608
55.75,54.75,2017-08-09,288.737,282.786,2.04742
55.5,51.5,2017-08-09,290.223,284.424,1.371
56.75,55,2017-08-12,288.401,285.303,2.10847
56.5,53.75,2017-08-08,289.934,284.911,0.204578
53.5,50.75,2017-08-08,291.943,286.886,0
53.25,51.5,2017-08-09,293.588,283.307,0.179829
53.25,56,2017-08-13,288.269,284.278,6.12907
54.25,52.25,2017-08-11,290.843,284.509,0
54,54.25,2017-08-07,290.026,286.081,0
54,55.5,2017-08-10,285.986,277.434,0.0164986
55,53.5,2017-08-08,289.799,285.935,0.0313454
55,50.25,2017-08-07,291.575,286.807,0
54.75,54.75,2017-08-07,290.403,285.037,0.0445442
55.25,55,2017-08-07,289.903,285.782,0.287067
56.25,54,2017-08-12,289.553,285.451,1.44689
55.5,48.5,2017-08-11,292.165,285.403,0.0676422
56.75,54.5,2017-08-11,289.383,284.28,0
56.5,47.5,2017-08-12,290.158,285.524,0.979992
56.5,48.25,2017-08-08,289.842,285.987,0.0428963
57,51.25,2017-08-13,286.389,282.582,0.541142
57,47,2017-08-09,288.412,285.388,0.325016
57,52.75,2017-08-10,287.661,283.602,0.18478
55,55,2017-08-08,290.152,287.417,0.0709419
57,53.25,2017-08-09,286.523,279.962,0.0131989
53,53.25,2017-08-09,292.683,283.007,1.22911
53.75,55.5,2017-08-13,288.729,282.328,4.92801
53,47,2017-08-09,291.763,282.272,0.983292
53,51.25,2017-08-13,292.189,285.035,0.593933
53,52.75,2017-08-10,288.138,279.202,0
53.5,54.75,2017-08-10,286.245,277.285,0.00329971
54.5,52.5,2017-08-07,289.714,286.513,0.0197983
54.75,52.75,2017-08-11,290.29,284.209,0
55.25,50.25,2017-08-08,291.726,287.291,0
55.25,53.5,2017-08-07,290.18,286.062,0.140236
56.5,51,2017-08-12,289.254,284.714,0.984943
56.25,48,2017-08-07,291.171,289.638,0.18148
56.25,49.5,2017-08-07,290.843,287.817,0.0973396
56.25,50.5,2017-08-12,289.318,284.766,1.46999
56.5,53,2017-08-13,287.245,280.904,0.854607
53.25,54.75,2017-08-12,289.332,286.361,0.0214462
56.75,50.25,2017-08-09,288.693,284.882,0.0197983
53,50.25,2017-08-11,291.828,283.461,0
53.5,55,2017-08-08,291.915,287.554,0
55.25,50.75,2017-08-07,292.036,286.286,0.00989914
54.75,50.25,2017-08-10,288.498,283.643,0.0412445
54.5,48.5,2017-08-11,294.016,287.021,0
55,54.75,2017-08-10,284.97,278.313,0.0428963
56.5,47.25,2017-08-10,288.607,285.029,0.359661
55.75,55.5,2017-08-13,287.143,280.871,8.26724
56,55.5,2017-08-08,288.123,286.285,0.514744
56,56,2017-08-07,289.046,286.705,0.767166
56.25,47.25,2017-08-09,289.69,285.9,0.0329971
56.25,52,2017-08-09,288.561,281.571,0.0214462
56.5,56,2017-08-11,287.729,286.003,0
56.5,52,2017-08-10,288.254,283.479,0.0511436
55,50.75,2017-08-08,290.059,287.889,0
53,54.5,2017-08-09,291.079,282.087,2.84429
53.25,53,2017-08-11,292.29,282.83,0
53.5,50.25,2017-08-07,295.013,285.573,0
56.75,47,2017-08-11,290.917,288.394,0.247471
56.75,53.25,2017-08-11,290.597,284.393,0.00659943
57,54.5,2017-08-09,286.623,281.602,0.296967
53.5,53.5,2017-08-08,293.397,287.519,0
55.5,52.5,2017-08-07,290.172,286.125,0.0346451
56.25,49.25,2017-08-13,287.825,282.365,0.315117
53.25,55.5,2017-08-11,289.174,283.349,0
57,50.25,2017-08-11,289.799,287.041,2.18106
53.5,51.25,2017-08-08,292.398,287.239,0
53.5,49,2017-08-10,292.184,287.083,0.0362968
54,47.25,2017-08-13,288.991,284.234,0.640129
54,52,2017-08-13,288.367,282.718,2.48298
57,50.75,2017-08-13,286.77,283.007,0.362961
54.5,47.5,2017-08-09,289.555,284.639,3.5834
54.5,53.75,2017-08-07,291.517,285.735,0.00989914
54.5,54,2017-08-10,284.987,279.549,0.0709419
54.75,48.25,2017-08-12,290.964,284.567,1.91049
55.75,47.5,2017-08-12,291.063,285.141,0.252422
56,48.25,2017-08-13,289.133,283.581,0.496593
54.25,49.25,2017-08-12,291.342,286.075,0.230976
54.25,54.5,2017-08-07,291.03,285.663,0
54.75,47.5,2017-08-08,290.215,288.212,0
55,49.75,2017-08-07,292.609,287.136,0.00164795
55.75,48.25,2017-08-08,291.273,286.156,0.0164986
56.75,52.25,2017-08-07,289.673,286.512,1.16477
53.75,52,2017-08-10,288.836,281.635,0
53.25,50,2017-08-12,292.605,286.306,0
53.75,56,2017-08-11,289.228,283.74,0
53,50.75,2017-08-13,292.4,284.905,0.559288
53.75,47.25,2017-08-10,287.588,282.423,0.00329971
54.5,50.5,2017-08-10,288.604,283.551,0.00989914
54,49.25,2017-08-09,292.457,285.527,0.343163
54.5,51,2017-08-09,290.541,284.284,1.21262
54.75,49,2017-08-07,295.505,288.152,0
